0.011, 103.186
0.344, 101.689
0.678, 102.855
1.011, 101.286
1.344, 100.897
1.677, 100.364
2.050, 98.633
2.375, 99.024
2.677, 99.918
3.010, 98.622
3.343, 100.393
3.676, 96.880
4.010, 100.321
4.343, 97.470
4.676, 101.790
5.009, 98.637
5.342, 99.112
5.716, 98.586
6.086, 98.593
6.342, 99.069
6.675, 99.976
7.048, 99.049
7.392, 98.932
7.635, 98.667
8.008, 99.774
8.341, 98.795
8.675, 95.887
9.008, 97.528
9.341, 97.082
9.674, 96.592
10.007, 98.219
10.381, 98.642
10.745, 98.481
11.007, 97.744
11.340, 97.254
11.673, 97.658
12.007, 98.709
12.340, 99.774
12.673, 97.024
13.006, 94.922
13.339, 97.658
13.673, 96.463
14.046, 95.272
14.416, 95.397
14.672, 94.649
15.005, 93.151
15.307, 95.310
15.632, 95.031
16.005, 95.829
16.338, 94.436
16.703, 94.921
17.005, 96.851
17.338, 93.886
17.671, 93.295
18.004, 97.370
18.378, 94.106
18.748, 94.231
19.004, 97.514
19.337, 95.628
19.670, 94.275
20.080, 94.173
